"","x"
"56","CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1"
"57","N#CC1=C(N)Nc2c(c(=O)oc3ccccc23)C1c1ccc(Br)cc1"
"58","O=C1Nc2ccc([N+](=O)[O-])cc2C12NNc1ccccc1O2"
"59","CCCCS(=N)(=O)CCC(N)C(=O)O"
"60","CCCCCCCCNC(=O)C(Cc1ccc(OCc2ccncc2)cc1)NC(=O)C1CCC(CN)CC1"
"61","COc1ccc2ccc(=O)oc2c1CC(O)C(C)(C)OC"
"62","Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3Cl)c1"
"63","COC(=O)C1=COC(O)C2C(CO)=CCC12"
"64","CNCC(O)c1ccc(O)cc1"
"65","CC(=O)NCC(O)c1ccc(O)cc1"
"66","Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1"
"67","CC(C)(C)OC(=O)NCC(=O)NNC(=O)C(C(=O)OCc1ccccc1)c1ccccc1"
"68","C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1"
"69","CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1"
"70","CCOC(OCC)P(=O)(O)CCCNCc1ccc(Cl)c(Cl)c1"
"71","CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1OC(=O)CCC"
"72","C#C[C@]1(OC(C)=O)CCC2C3CCC4=C/C(=N/O)CCC4C3CC[C@@]21CC"
"73","NC1CCc2ccccc2C1"
"74","CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1"
"75","CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2"
"76","COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F"
"77","CCC1CCCCN1C(=O)n1cc(C(O)(c2ccccc2)c2ccccc2)nn1"
"78","[C-]#[N+]c1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1"
"79","CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC1CCCc2ccccc21)C(C)C"
"80","CCOC(=O)C12CC1/C(=N\O)c1ccccc1O2"
"81","COc1ccc(C2NC(=O)c3ccccc3N2)cc1COc1ccc(NC(C)=O)cc1"
"82","NC(C(=O)O)C(OCc1ccccc1)C(=O)O"
"83","CC(C)C1CCC(C)C(C(O)c2ccc(-c3ccccc3)cc2)C1=O"
"84","Oc1ccc2c3c1OC1c4c(c5ccccc5n4Cc4ccccc4)CC4(O)C(C2)N(CC2CC2)CCC314"
"85","COC1/C=C/C=C(\C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O)C2=O"
"86","CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1"
"87","O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1"
"88","CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12"
"89","CC(C)Oc1cccc(C(=O)C2CCCN(Cc3cnn(C(C)C)c3)C2)c1"
"90","CC(Sc1nc2cc(Cl)ccc2s1)C(=O)Nc1cccc(S(=O)(=O)N2CCOCC2)c1"
"91","CCCC(=O)Nc1nc2c(ncn2C2O[C@H]3COP(=O)(O)O[C@@H]3[C@@H]2OC(=O)CCC)c(=O)[nH]1"
"92","COc1cc(C(O)CN)cc(OC)c1OC"
"93","CCOC(=O)C1=C(C)NC(c2ccccc2)=C(C(=O)OCc2ccc([N+](=O)[O-])cc2)C1C#Cc1ccccc1"
"94","O=C1N(Cc2ccccc2)c2ccccc2C12NNc1ccccc1O2"
"95","CCN(CC)CC(C(=O)c1ccc(F)cc1)c1ccccc1"
"96","C[C@]12C[C@H](O)C3C(CCC4=CC(=O)CC[C@@]43C)C1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O"
"97","CC(C)[N+]1(C)C2CC[C@@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2"
"98","NC(Cc1c[nH]c2ccccc12)C(=O)O"
"99","COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1"
"100","CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1"
"101","CCOc1ccc(C(Nc2cccnc2)c2cc(Cl)c3cccnc3c2O)cc1"
"102","CNCC(O)c1ccc(O)c(O)c1"
"103","CC(C)NCC(O)c1cc(O)cc(O)c1"
"104","O=C1CC(c2ccccc2)Oc2ccccc21"
"105","COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1"
"106","C=CC(N)CCC(=O)O"
"107","CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2"
"108","CCC(C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)C(C)CC)c(O)c3c2c1O"
"109","CC(CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C"
"110","CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O"
"111","CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1"
"112","NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O"
"113","CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O"
"114","CCOC(=O)CCCC(=O)Nc1ncnc2c1C(c1ccccc1)c1c(ccc3ccccc13)O2"
"115","CC1CC(=O)NN=C1c1ccc(F)c(F)c1"
"116","CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)Nc1cccc2ncccc12)C(C)C"
"117","CO[C@H](C)C(O)(C(=O)OCC1=CCN2CC[C@H](O)[C@@H]12)C(C)C"
"118","CCCC(O)C#Cc1cnc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@H](CN(C)C(=O)Nc1ccc3c(c1)OCO3)O2"
"119","COC1=CC23CCCN2CCc2cc4c(cc2C3C1O)OCO4"
"120","NC(Cc1cc(O)c(O)cc1Cl)C(=O)O"
"121","COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC"
"122","CCC(C)(CN(C)C)OC(=O)c1ccccc1"
"123","CN(C)CCC[N+]1([O-])c2ccccc2Sc2ccc(Cl)cc21"
"124","O=C1CC2OCC=C3CN4CC[C@]56c7ccccc7N1C5[C@H]2[C@H]3CC46"
"125","CC(=O)O[C@@H]1CC(=O)OC(C)(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]543)[C@]21C"
"126","Cc1cc(C)c(OCC(O)CNC(C)(C)C)c(C)c1"
"127","O=C(/C=C/c1ccccn1)NC(Cc1c[nH]c2ccccc12)C(=O)O"
"128","C#C[C@]1(OC(C)=O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21C"
"129","CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1"
"130","O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F"
"131","CN1CCc2cc3c(cc2[C@H]1C1OC(=O)c2c1ccc1c2OCO1)OCO3"
"132","COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC"
"133","CN1C2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2"
"134","CCC(OC(=O)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1)C(=O)NC1C2CC3CC(C2)CC1C3"
"135","O=P1(N(CCCl)CCCl)NCCCO1"
"136","C=C[C@]1(C)C=C2CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1O"
"137","Oc1cc2c(c(Cl)c1O)CCNCC2c1ccccc1"
"138","CCNCC(O)c1cccc(O)c1"
"139","CSC1=C(C#N)C(=O)NC(c2ccc(Cl)cc2)S1"
"140","CC(C)NCC(O)COc1cccc2ccccc12"
"141","C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"
"142","CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21"
"143","S=C(NCC1CCCO1)Nc1cnn(Cc2ccc(Cl)cc2)c1"
"144","NC1(c2ccccc2Cl)CCCCC1=O"
"145","O=C1OC(C(O)CO)C(O)C1=O"
"146","COc1cc(CC(O)CO)ccc1O"
"147","CC(=O)C1C(=O)[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3C(C)(C)N2C1=O"
"148","CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1"
"149","CC1(C)S[C@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21"
"150","CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1"
"151","CCN1CCC(CNC(=O)c2cc(S(N)(=O)=O)ccc2OC)C1"
"152","CCn1ccnc1CC1COc2ccccc2O1"
"153","COc1c2c(cc3c1OCO3)C13C=C[C@H](OC)CC1N(C2)CC3O"
"154","COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12"
"155","O=C1/C(=C\c2ccccc2)C(NC2CCCCC2)c2ccccc21"
"156","CN1CCc2cc(Br)c(O)cc2C(c2ccc(N(CCCl)CCCl)cc2)C1"
"157","Cc1noc(C)c1-c1ccc2ncnc(NC(C)c3ccco3)c2c1"
"158","O=C(c1ccccc1)N(C(=O)c1ccccc1)c1ncnc2c1C(c1ccccc1)c1c(ccc3ccccc13)O2"
"159","NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1"
"160","Oc1ccc2c3c1OC1c4[nH]c5c(c4CC4(O)C(C2)N(CC2CC2)CCC314)CC1(O)C2Cc3ccc(O)c4c3C1(CCN2CC1CC1)C5O4"
"161","CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21"
"162","Nc1ncn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1"
"163","CC(C)C1COc2cc3oc(=O)ccc3cc2O1"
"164","CCOC(=O)CC(=O)Nc1ncnc2c1C(c1ccccc1)c1c(ccc3ccccc13)O2"
"165","COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2"
"166","CN1CCC2(c3cccc(O)c3)Cc3nc4ccccc4cc3CC2C1"
"167","COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)C2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O"
"168","Cn1nc(N)c2cn([C@@H]3O[C@H](CO)C(O)[C@@H]3O)c3ncnc1c23"
"169","CC(/C=C/C1(O)C(C)CC(O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O"
"170","C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl"
"171","CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1"
"172","Cc1nc(N2CCN(C(=O)c3ccco3)CC2)c2c3c(sc2n1)CC(C)CC3"
"173","COc1cccc(Cn2ncc3c4sc(S(C)=O)cc4n(C)c3c2=O)c1"
"174","O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O"
"175","CN1C2CCC1CC(NC(=O)c1nn(C)c3ccccc13)C2"
"176","CCCn1ncc(CN2CCCC(C(=O)c3cccc(OC(C)C)c3)C2)c1C"
"177","COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1"
"178","CNC(=O)c1ccc2cc(C3(O)CCn4cncc43)ccc2c1"
"179","O=C1CC(O)(CF)CCO1"
"180","CCOC(=O)C1C(C)=NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1"
"181","Cc1cc(C)c(NC(=O)C2CC3CCC2C3)c(C)c1"
"182","O=C(CCC1COc2ccccc2O1)Nc1ncccc1O"
"183","CN([N+][O-])C(=O)NC1C(O)OC(CO)C(O)C1O"
"184","NCCc1c[nH]c2ccc(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc12"
"185","COC(=O)CS(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]"
"186","Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2"
"187","CC(C)[C@]12O[C@H]1[C@@H]1O[C@@]13[C@@]1(C)CCC4=C(COC4=O)C1C[C@@H]1O[C@@]13[C@@H]2O"
"188","CC(=O)[C@@]1(O)CCC2C3C[C@H](C)C4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)C[C@@]21C"
"189","COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC"
"190","CCN(CC)c1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccccc2)C3)cc1"
"191","CCn1cc(CN2CCCC(C(=O)c3cccc(C(F)(F)F)c3)C2)cn1"
"192","CC1CC(=O)C2C(O)(C1)CC(O)C13OC1c1c(O)cccc1C(=O)C23O"
"193","Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12"
"194","C=CC[N@@+]12CC[C@]34c5ccccc5N5C=C6C7N(C=C(C53)[C@@H](C[C@@H]41)C(=CCO)C2)c1ccccc1[C@@]71CC[N@@+]2(CC=C)CC(=CCO)[C@H]6C[C@H]12"
"195","CCOC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OCC"
"196","COc1cc2c(cc1O)C(c1cccs1)N(Cc1ccc([N+](=O)[O-])o1)CC2"
"197","CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1"
"198","OC12C3C4CC5C6C4C1C6C(C53)N2CCc1cccc(F)c1"
"199","C[N+](C)(C)CC(O)c1ccc(O)c(O)c1"
"200","CC1=NN(c2nc3ccccc3[nH]2)C(=O)C1Cc1ccccc1"
"201","CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1"
"202","NCC(O)c1ccc(O)cc1"
"203","CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21"
"204","CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12"
"205","Clc1ccc(C2=CCCC3CCC2N3)cn1"
"206","CCCC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2OP(=O)(O)OC[C@@H]2[C@H]1OC(=O)CCC"
"207","CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C"
"208","CC(N)C(O)c1ccccc1Cl"
"209","C#C[C@]1(O)CCC2C3CCc4cc(OC)ccc4C3CC[C@@]21C"
"210","CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1"
"211","C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2cccc(C)c2)C1"
"212","CCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC(=O)C(=O)C1O"
"213","CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O"
"214","CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CC=C(CO)C[C@H]21"
"215","COc1c(O)cc2c(c1O)C1OC(CO)C(O)C(O)C1OC2=O"
"216","CCCC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2OP(=O)(O)OC[C@H]2[C@H]1OC(=O)CCC"
"217","CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(C)=O"
"218","Clc1ccc(C2Nc3ccccc3O2)cc1Cl"
"219","CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O"
"220","CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1CC1C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C"
"221","CN(CCOc1ccc(CC(Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1"
"222","OC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1"
"223","CC1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]21"
"224","CC(C)=CCc1c(O)c(CC=C(C)C)c2c(c1O)C(=O)CC(c1ccc(O)cc1)O2"
"225","CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1"
"226","C=C(C)[C@@H]1C2C(=O)O[C@H]1[C@@H]1OC(=O)[C@@]34OC3C[C@]2(O)[C@@]14C"
"227","O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1"
"228","CCCCCC(O)/C=C/C=O"
"229","CCCC(=O)Nc1ncnc2c1ncn2C1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1OC(=O)CCC"
"230","CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21"
"231","NC(=O)CS(=O)C(c1ccccc1)c1ccccc1"
"232","C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O"
"233","CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C"
"234","CN(Cc1ccccc1)C(=O)C1CCCN(Cc2ccccc2C(F)(F)F)C1"
"235","Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1"
"236","CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1"
"237","CC(COc1ccccc1)NC(C)[C@H](O)c1ccc(O)cc1"
"238","COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC"
"239","CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O"
"240","COc1ccc(OC)c(-c2nnc3n2N=C(c2ccc(OC)c(OC4CCOC4)c2)CS3)c1"
"241","Oc1ccc2c3c1OC1C(O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314"
"242","CCC1C=CC=C2C1=NC1=C2CCOC1(CC)CC(=O)O"
"243","COC(=O)[C@H](Cc1ccccc1)NC(=O)/C(=C1\OC(=O)C(c2ccccc2)C1=O)c1ccccc1"
"244","CC1CCCC=CC2CC(O)CC2C(O)C=CC(=O)O1"
"245","CC1NCCc2ccccc21"
"246","CC(=O)Nc1ccc(C(=O)NC2CCCCC2N)cc1"
"247","CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12"
"248","CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12"
"249","CC1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(Cl)C(O)CC2(C)C1(O)C(=O)CO"
"250","O=C1CC2(CCCC2)CC(=O)N1CCCCNCC1COc2ccccc2O1"
"251","CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1"
"252","C=C[C@]12CN(C)[C@@H]3[C@H]4COC(CC41)[C@]1(C(=O)Nc4ccccc41)[C@H]32"
"253","NC(Cc1csc2ccc(O)cc12)C(=O)O"
"254","CC(C)Cc1ccc(C(C)C(=O)O)cc1"
"255","CCOC(=O)C(C)Oc1cccc2c(=O)n(CC(=O)Nc3ccc(OC)cc3)ccc12"
"256","CC1CN(c2ccnc3cc(Cl)ccc23)CCN1C(=O)c1ccc(Cl)cc1"
"257","CC(N)Cc1c[nH]c2ccc(O)cc12"
"258","COc1ccc(C2Nc3ccccc3C(=O)N2Cc2ccccc2)cc1COc1ccc(NC(C)=O)cc1"
"259","CC1(C)C=CC(=O)[C@@]2(C)C1CC(=O)[C@]1(C)C2CC[C@@]2(C)[C@H](c3ccoc3)OC(=O)C3OC321"
"260","C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@H]3[C@H]1CC[C@@H]2O"
"261","Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2"
"262","Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O"
"263","CN1C(=O)CC(c2ccccc2)C1=O"
"264","CCOC(=O)C12CC1C(=NO)c1ccccc1O2"
"265","CCCCC(CC)COC(=O)c1ccccc1C(=O)O"
"266","Cn1c2cc(S(C)=O)sc2c2cnn(Cc3cccc(N)c3)c(=O)c21"
"267","COc1ccc(C(C(=O)NC2CCCCC2)N(C(=O)CCl)c2cccc(Cl)c2)cc1"
"268","COc1cc([C@@H]2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3OCC(=O)[C@@H]32)OCO4)cc(OC)c1O"
"269","CCCC(O)C#Cc1cnc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@H](CN(C)S(=O)(=O)c1ccc(C)cc1)O2"
"270","Nc1ncnc2c1c(I)cn2C1OC(CO)C(O)C1O"
"271","CC1C=NC(S(=O)(=O)N2CC[C@@H]3[C@H](CO)N(C)c4ccc(-c5ccccc5F)cc4[C@@H]32)=N1"
"272","CN(C)CC(O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21"
"273","CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1"
"274","C[C@]12CCC3c4ccc(O)cc4CCC3C1C[C@@H](O)[C@@H]2O"
