,0,Atoms
61,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,32
62,CCCCCCCCCCCCCCCCCC[S+](CCC)c1ccccc1C(=O)OCC,33
63,CC(C)c1cccc2c1OC(C(C)C)C(=S)N2CC(=O)O,21
64,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,16
65,C[C@@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(N)=O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O,60
66,O=C(O)/C=C/c1ccc(-c2ccc(O)c(C34CC5CC(CC(C5)C3)C4)c2)cc1,28
67,O=C(NCCN1CCN(c2ncccn2)CC1)C12CC3CC(CC(C3)C1)C2,27
68,O=C1N=C(N2CCOCC2)CN1c1ccc(Cl)cc1,19
69,O=C(CCCCCCCC(=O)NCCO)NCCO,19
70,Nc1ncnc2[nH]cnc12,10
71,Nc1ncnc2c1ncn2C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,23
72,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,31
73,O=C(O)CCCCC(=O)O,10
74,O=C(COc1ccc(C(=O)c2ccccc2)cc1)NC1CCN(Cc2ccccc2)CC1,32
75,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3cccc(O)c32)cc1,29
76,Fc1ccc(-c2cncc(CN3CCN(c4cccc5c4OCCO5)CC3)c2)cc1,30
77,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,22
78,Cc1cc(C)c(N)c(C#Cc2cccc(F)c2)n1,18
79,O=C(c1ccc(F)cc1)N1CCC[C@H](c2nc(-c3ccc(F)cc3)no2)C1,27
80,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1,33
81,NS(=O)(=O)c1nn2cc(-c3ccccc3)nc2s1,18
82,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,15
83,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,29
84,Cc1c(CN(C)C(=O)/C=C/C2=CNC3=NC(=O)CCC3=C2)oc2ccccc12,28
85,Cc1cccc(NC(=O)c2ccc(C(F)(F)F)cc2C(=O)O)n1,23
86,CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,18
87,CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,24
88,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1,22
89,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1,24
90,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCCc1ccccc1,25
91,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cn1ccnc1C)c1cccc(F)c1,34
92,O=C(Nc1cccc(C(F)(F)F)c1)Nc1cc(S(=O)(=O)NC2CC2)ccc1-c1ccsc1,32
93,CO[C@H]1C([C@@]2(C)O[C@@H]2CC=C(C)C)[C@]2(CC[C@H]1OC(=O)NC(=O)CCl)CO2,27
94,N=C(N)NCCCCN,9
95,CC(C)[C@@H]1C2CCC(C2)[C@H]1N,11
96,CCc1ccc(C2=CC(C)(C)Sc3ccc(C#Cc4ccc(C(=O)O)cc4)cc32)cc1,31
97,CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,30
98,CCCCCCCCCCCCCCCCCCCCCC(=O)O,24
99,Cc1ccc(S(=O)(=O)NC2c3ccccc3Oc3ccccc32)cc1,25
100,N=C(CC(O)COc1ccccc1-c1ccccc1)N1CCCCC1,25
101,CC(C)Oc1ccc2c(=O)c3cc(C(=O)O)ccc3oc2c1,22
102,FC(F)(F)Oc1ccc2nc(-c3ccc(OCCOCCOc4ccc(-c5nc6ccc(OC(F)(F)F)cc6[nH]5)nc4)cn3)[nH]c2c1,47
103,c1ccc(-c2oc3ncnc(NC[C@@H]4CCCO4)c3c2-c2ccccc2)cc1,28
104,CCCN[C@@H]1CCc2c(OC)cccc2[C@@H]1C,17
105,O=C(Nc1cccc(Br)c1)c1cccc(S(=O)(=O)N2CCCCCC2)c1,26
106,CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)O,37
107,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1c(F)cn2c(C(C)(C)C)nnc2c1F,29
108,C[C@H](N)C(=O)N[C@@H](C)P(=O)(O)O,12
109,Cc1sc[n+](CC(=O)c2ccccc2)c1C,16
110,CC(N)C(=O)O,6
111,C=C1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@H](C)C3=C[C@H]12,17
112,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,17
113,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1,84
114,O=C(NCc1ccc2c(c1)OCO2)c1c(Cl)cccc1Cl,21
115,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(CO)=N/NC(=O)CCCCCN1C(=O)C=CC1=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,54
116,CCCCC(CC)C/N=C(\N)N/C(N)=N/CCCCCC/N=C(\N)N/C(N)=N/CC(CC)CCCC,36
117,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,28
118,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,37
119,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,18
120,C=CCSS(=O)CC=C,9
121,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,23
122,O=c1ncnc2n([C@@H]3O[C@H](CO)[C@H](O)C3O)[nH]cc1-2,19
123,C=CCN=C=S,6
124,C=CCN=C(N)S,7
125,CNC(=O)[C@@H](c1ccccc1)N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(C(F)(F)F)cc1,37
126,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,20
127,O=C1c2c(O)cccc2[C@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,30
128,C1=C2CCCN[C@H]2[C@@H]2C[C@H]1[C@H]1CCCCN1C2,17
129,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,22
130,CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C,24
131,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,30
132,C/C=C/c1cc(OC)c(OC)cc1OC,15
133,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,12
134,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,20
135,C[C@@H](N)Cc1c[nH]cn1,9
136,C[C@H](N)Cc1c[nH]cn1,9
137,CC(N)Cc1c[nH]c2ccc(O)cc12,14
138,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,27
139,O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O,19
140,Nc1ccn([C@@H]2O[C@@](CO)(CCl)[C@@H](O)[C@H]2F)c(=O)n1,19
141,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,29
142,C#Cc1cncc([C@@H]2CCCN2C)c1,14
143,O=C(Nc1cc(Oc2cc(F)c(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1)C1CC1,37
144,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,44
145,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,28
146,CN(CC[C@@H](Oc1ccc(-c2ccccc2)cc1)c1ccc(F)cc1)CC(=O)O,29
147,CN1CCCCC1Cn1cc(C(=O)c2cc([N+](=O)[O-])ccc2I)c2ccccc21,29
148,Oc1c(I)cc(I)cc1I,10
149,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1,30
150,Cc1c(C(=O)NN2CCOCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1,30
151,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)Nc1ccc(O)cc1,29
152,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21,26
153,COc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3cc(I)ccc23)cc1,29
154,CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1,28
155,N=C(N)N=Nc1ccc(NNC(=N)S)cc1,16
156,c1ccc(CNCc2ccc(CN3CCCNCCNCCCNCC3)cc2)nc1,30
157,NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,26
158,Cc1cccc(C)c1NC(=O)c1ccc(N)cc1,18
159,COc1cc(N)cn[n+]1-c1ccccc1,15
160,Nc1c(-c2cccc(C(F)(F)F)c2)nsc1C(=O)O,19
161,Cc1ccc2cc(-c3c(C)ccc(C(=O)c4c(-c5ccccc5)n(C)n(-c5ccccc5)c4=O)c3N)ccc2n1,40
162,COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1,29
163,CC(C)[C@@H](CS(=O)(=O)C(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,37
164,C[C@H](Nc1ncnc2[nH]cnc12)c1cc2ccc(F)cc2nc1-c1ccccn1,29
165,COCCOc1cnc2ccn([C@H](C)c3nnc4c(F)cc(-c5cnn(C)c5)cn34)c(=O)c2c1,34
166,CCOc1ccc(-n2c([C@@H](C)N(Cc3cccnc3)C(=O)Cc3ccc(OC(F)(F)F)cc3)nc3ncccc3c2=O)cc1,44
167,CCOc1ccc(-n2c(C(C)N(Cc3cccnc3)C(=O)Cc3ccc(OC(F)(F)F)cc3)nc3ncccc3c2=O)cc1,44
168,CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)cccc2s1,30
169,Cn1c(NC[C@@H](N)Cc2ccccc2)nc(-c2ccncc2)c(-c2ccc3ccccc3c2)c1=O,35
170,CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3ccc(C(F)(F)F)cc3)c2)cc1,32
171,C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc5c(n4)CCN(C(=O)CO)C5)nc32)CC1,35
172,CC(C)(C)c1ccc(/C=C/C(=O)Nc2ccc3c(c2)OCCO3)cc1,25
173,CC(Nc1ncnc2nc[nH]c12)c1cc2ccc(F)cc2nc1-c1ccccn1,29
174,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,40
175,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,37
176,O=C(Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1)Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,34
177,CCOC(=O)COc1ccc2c(c1)C[C@@H](NC[C@H](O)c1cccc(Cl)c1)CC2,28
178,Cc1cc(N(C)C)ccc1CC(C)N,14
179,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,25
180,N=C(N)NN,5
181,NCC(=O)CCC(=O)OCc1ccccc1,16
182,CC1CCN=C(N)S1,8
183,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,32
184,CC(C)[C@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1,28
185,Nc1nncs1,6
186,Nc1nccs1,6
187,CN(C)CCCO[C@H]1[C@@H]([C@H](O)CO)O[C@@H]2OC(C)(C)O[C@H]12,21
188,Clc1ccc(C23CNCC2C3)cc1Cl,14
189,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,25
190,c1ccc(C(NCCNC(c2ccccc2)c2ccccc2)c2ccccc2)cc1,30
191,CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,21
192,Cc1onc(O)c1CC(N)C(=O)O,13
193,Cc1onc(O)c1C[C@H](N)C(=O)O,13
194,O=C(c1ccc2nccnc2c1)N1CCCCC1,18
195,Cc1c(N)c(=O)n(-c2ccccc2)n1C,15
196,Cc1nc(N)sc1CCN,10
197,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,32
198,N#C[C@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,32
199,CCCCCO[N+][O-],8
200,CCC(C)(CN(C)C)OC(=O)c1ccccc1,17
201,CCC(C)(C)O,6
202,N#C/C(=C\c1cccn1S(=O)(=O)c1cccc([N+](=O)[O-])c1)S(=O)(=O)c1ccc(F)cc1,31
